Region:Europe Central Asia

year,income_per_person
1960,15565
1961,16049
1962,16578
1963,16893
1964,17756
1965,18470
1966,18859
1967,18859
1968,19780
1969,20915
1970,21694
1971,22149
1972,22935
1973,23883
1974,24053
1975,23986
1976,25245
1977,25992
1978,26729
1979,27772
1980,27986
1981,28027
1982,27785
1983,28332
1984,29202
1985,29878
1986,30499
1987,30928
1988,31801
1989,32554
1990,31287
1991,32647
1992,33023
1993,32493
1994,33176
1995,33653
1996,33830
1997,34406
1998,35081
1999,35755
2000,36765
2001,37325
2002,37262
2003,36977
2004,37418
2005,37704
2006,39143
2007,40474
2008,40989
2009,38784
2010,40429
