Region:Sub Saharan Africa

year,income_per_person
1960,2246
1961,2252
1962,2287
1963,2295
1964,2274
1965,2238
1966,2186
1967,2171
1968,2148
1969,2168
1970,2340
1971,2461
1972,2324
1973,2328
1974,2434
1975,2095
1976,1988
1977,2002
1978,2145
1979,2068
1980,1986
1981,1968
1982,1803
1983,1622
1984,1676
1985,1716
1986,1740
1987,1781
1988,1836
1989,1884
1990,1901
1991,1944
1992,1962
1993,1999
1994,2008
1995,2035
1996,2074
1997,2108
1998,2153
1999,2193
2000,2219
2001,2252
2002,2297
2003,2357
2004,2428
2005,2508
2006,2601
2007,2645
2008,2813
2009,2875
2010,3026
