Region:Europe Central Asia

year,income_per_person
1960,6052
1961,6543
1962,6765
1963,7443
1964,8045
1965,8780
1966,9271
1967,9688
1968,10329
1969,11338
1970,12241
1971,13087
1972,14655
1973,15197
1974,14625
1975,15402
1976,16203
1977,16544
1978,17465
1979,17928
1980,18106
1981,17996
1982,18004
1983,18019
1984,18471
1985,19021
1986,19320
1987,19231
1988,20116
1989,20837
1990,20686
1991,21073
1992,21059
1993,20600
1994,20908
1995,21247
1996,21759
1997,22623
1998,23374
1999,24000
2000,24839
2001,25731
2002,26643
2003,28119
2004,29470
2005,29559
2006,31136
2007,32074
2008,31882
2009,30430
2010,28726
