Region:America

year,income_per_person
1960,1888
1961,1928
1962,1968
1963,2008
1964,2050
1965,2092
1966,2136
1967,2180
1968,2224
1969,2270
1970,2317
1971,2492
1972,2694
1973,2946
1974,3160
1975,3289
1976,3636
1977,3909
1978,4184
1979,4473
1980,4444
1981,4417
1982,4522
1983,4527
1984,4638
1985,4954
1986,5365
1987,6025
1988,6333
1989,6820
1990,7238
1991,7329
1992,7213
1993,6995
1994,7034
1995,7116
1996,7380
1997,7707
1998,8574
1999,9129
2000,9538
2001,9307
2002,9591
2003,10461
2004,10360
2005,11699
2006,11203
2007,11860
2008,11942
2009,11117
2010,11014
