Region:America

year,income_per_person
1960,3348
1961,3386
1962,3401
1963,3614
1964,3668
1965,3755
1966,3886
1967,3969
1968,4234
1969,4347
1970,4502
1971,4651
1972,4884
1973,5102
1974,5307
1975,5290
1976,5554
1977,5853
1978,6007
1979,6151
1980,6241
1981,6123
1982,5783
1983,5478
1984,5369
1985,5200
1986,5053
1987,5019
1988,5014
1989,5076
1990,5101
1991,5165
1992,5289
1993,5370
1994,5458
1995,5598
1996,5635
1997,5751
1998,5904
1999,5995
2000,6071
2001,6069
2002,6158
2003,6166
2004,6213
2005,6269
2006,6458
2007,6713
2008,6782
2009,6670
2010,6714
