Region:Sub Saharan Africa

year,income_per_person
1960,978
1961,1030
1962,1081
1963,1113
1964,1217
1965,1290
1966,1362
1967,1386
1968,1436
1969,1516
1970,1596
1971,1535
1972,1637
1973,1645
1974,1711
1975,1746
1976,1713
1977,1572
1978,1759
1979,1774
1980,1466
1981,1434
1982,1468
1983,1394
1984,1446
1985,1482
1986,1441
1987,1495
1988,1570
1989,1610
1990,1634
1991,1679
1992,1659
1993,1656
1994,1673
1995,1710
1996,1871
1997,1954
1998,1379
1999,1366
2000,1411
2001,1411
2002,1367
2003,1344
2004,1349
2005,1374
2006,1372
2007,1383
2008,1393
2009,1404
2010,1431
