Region:Sub Saharan Africa

year,income_per_person
1960,887
1961,935
1962,993
1963,927
1964,976
1965,1030
1966,1038
1967,1057
1968,1075
1969,1092
1970,1115
1971,1159
1972,1170
1973,1171
1974,1215
1975,1233
1976,1311
1977,1249
1978,1314
1979,1279
1980,1292
1981,1280
1982,1283
1983,1279
1984,1247
1985,1247
1986,1252
1987,1269
1988,1323
1989,1349
1990,1343
1991,1339
1992,1346
1993,1377
1994,1394
1995,1421
1996,1445
1997,1481
1998,1496
1999,1516
2000,1519
2001,1541
2002,1589
2003,1578
2004,1584
2005,1598
2006,1583
2007,1653
2008,1683
2009,1626
2010,1666
