Region:America

year,income_per_person
1960,3104
1961,3164
1962,3120
1963,2674
1964,2910
1965,3148
1966,3244
1967,3315
1968,3288
1969,3462
1970,3564
1971,3642
1972,3501
1973,3531
1974,3788
1975,4089
1976,4125
1977,3988
1978,3888
1979,3794
1980,3848
1981,3903
1982,3393
1983,3174
1984,3029
1985,3122
1986,3117
1987,3172
1988,3082
1989,2951
1990,2875
1991,3045
1992,3263
1993,3504
1994,3779
1995,3956
1996,4274
1997,4555
1998,4503
1999,4662
2000,4617
2001,4732
2002,4788
2003,4755
2004,4826
2005,4729
2006,4970
2007,5318
2008,5421
2009,5607
2010,5825
