Region:America

year,income_per_person
1960,2512
1961,2359
1962,2529
1963,2312
1964,2210
1965,2185
1966,2124
1967,2034
1968,2068
1969,2088
1970,2138
1971,2250
1972,2224
1973,2280
1974,2361
1975,2337
1976,2480
1977,2437
1978,2501
1979,2634
1980,2767
1981,2630
1982,2480
1983,2449
1984,2402
1985,2361
1986,2297
1987,2229
1988,2252
1989,2139
1990,2114
1991,2111
1992,1961
1993,1819
1994,1572
1995,1696
1996,1734
1997,1749
1998,1756
1999,1772
2000,1757
2001,1709
2002,1677
2003,1655
2004,1571
2005,1574
2006,1583
2007,1610
2008,1598
2009,1622
2010,1510
