Region:America

year,income_per_person
1960,2534
1961,2506
1962,2553
1963,2548
1964,2578
1965,2694
1966,2743
1967,2789
1968,2844
1969,2758
1970,2744
1971,2751
1972,2795
1973,2896
1974,3175
1975,3129
1976,3334
1977,3549
1978,3754
1979,3785
1980,3662
1981,3596
1982,3413
1983,3260
1984,3273
1985,3280
1986,3178
1987,3247
1988,3280
1989,3309
1990,3208
1991,3014
1992,3108
1993,3218
1994,3135
1995,3236
1996,3203
1997,3256
1998,3278
1999,3164
2000,3303
2001,3304
2002,3340
2003,3405
2004,3530
2005,3655
2006,3805
2007,3951
2008,4029
2009,3849
2010,3913
