Region:Europe Central Asia

year,income_per_person
1960,8879
1961,9315
1962,9701
1963,10237
1964,10812
1965,10899
1966,11519
1967,12171
1968,12309
1969,12667
1970,12619
1971,13188
1972,13474
1973,14173
1974,14521
1975,14792
1976,14800
1977,15705
1978,16079
1979,16121
1980,16312
1981,16475
1982,17129
1983,17028
1984,17560
1985,17210
1986,17636
1987,17991
1988,18617
1989,18332
1990,17201
1991,15156
1992,14697
1993,14629
1994,15081
1995,15327
1996,15355
1997,15900
1998,16612
1999,17190
2000,17960
2001,18693
2002,19595
2003,20408
2004,21477
2005,22464
2006,23365
2007,23500
2008,23742
2009,22209
2010,22405
