Region:Europe Central Asia

year,income_per_person
1960,10111
1961,9942
1962,10645
1963,11562
1964,12571
1965,13299
1966,14264
1967,13929
1968,13038
1969,13318
1970,14290
1971,16069
1972,16876
1973,17836
1974,18673
1975,18632
1976,19640
1977,21297
1978,22495
1979,23451
1980,24638
1981,25500
1982,25799
1983,25017
1984,25886
1985,26637
1986,28235
1987,30555
1988,30011
1989,29834
1990,30066
1991,29653
1992,28295
1993,28377
1994,29147
1995,29023
1996,30187
1997,31015
1998,32862
1999,33780
2000,34950
2001,35834
2002,35757
2003,36316
2004,38893
2005,40706
2006,41848
2007,44624
2008,44675
2009,41505
2010,40137
