Region:South Asia

year,income_per_person
1960,1002
1961,1012
1962,1015
1963,1047
1964,1107
1965,1042
1966,1033
1967,1098
1968,1103
1969,1156
1970,1191
1971,1179
1972,1152
1973,1181
1974,1171
1975,1250
1976,1243
1977,1313
1978,1357
1979,1263
1980,1327
1981,1386
1982,1402
1983,1488
1984,1516
1985,1548
1986,1585
1987,1624
1988,1760
1989,1844
1990,1906
1991,1887
1992,1951
1993,2004
1994,2096
1995,2212
1996,2334
1997,2384
1998,2485
1999,2657
2000,2710
2001,2792
2002,2850
2003,3024
2004,3211
2005,3411
2006,3629
2007,3849
2008,3910
2009,4158
2010,4451
