Region:East Asia Pacific

year,income_per_person
1960,1776
1961,1863
1962,1827
1963,1724
1964,1754
1965,1739
1966,1706
1967,1637
1968,1762
1969,1943
1970,2107
1971,2181
1972,2376
1973,2670
1974,2745
1975,2690
1976,2865
1977,3021
1978,3091
1979,3188
1980,3388
1981,3550
1982,3353
1983,3418
1984,3584
1985,3600
1986,3750
1987,3871
1988,4027
1989,4318
1990,4626
1991,4861
1992,5090
1993,5332
1994,5643
1995,6014
1996,6387
1997,6591
1998,5645
1999,5611
2000,5807
2001,5936
2002,6120
2003,6326
2004,6556
2005,6837
2006,7118
2007,7470
2008,7815
2009,8069
2010,8458
