Region:Middle East North Africa

year,income_per_person
1960,15884
1961,16745
1962,17344
1963,17876
1964,18708
1965,20677
1966,22334
1967,24058
1968,26334
1969,28949
1970,17101
1971,18934
1972,21108
1973,22070
1974,22703
1975,21975
1976,25212
1977,23757
1978,20038
1979,17023
1980,12858
1981,11658
1982,13525
1983,14307
1984,13528
1985,13540
1986,11877
1987,11392
1988,10517
1989,10672
1990,11364
1991,12481
1992,12594
1993,12524
1994,12158
1995,12263
1996,12721
1997,12612
1998,12719
1999,12663
2000,13237
2001,13175
2002,13956
2003,14989
2004,15456
2005,15764
2006,16366
2007,17507
2008,17360
2009,17342
2010,18139
