Region:Middle East North Africa

year,income_per_person
1960,19133
1961,20487
1962,20640
1963,19430
1964,20840
1965,21742
1966,21887
1967,20437
1968,23004
1969,22730
1970,21636
1971,21948
1972,20192
1973,22523
1974,22660
1975,25234
1976,28989
1977,28428
1978,31987
1979,37437
1980,34854
1981,27164
1982,25674
1983,22349
1984,21336
1985,19987
1986,18817
1987,18717
1988,14111
1989,12278
1990,11555
1991,4045
1992,5214
1993,6595
1994,6645
1995,6580
1996,7082
1997,8324
1998,10882
1999,12410
2000,12212
2001,12127
2002,10962
2003,7130
2004,10712
2005,10930
2006,11810
2007,11774
2008,12530
2009,12691
2010,13154
