Region:Europe Central Asia

year,income_per_person
1960,8660
1961,9089
1962,9317
1963,9659
1964,9957
1965,10056
1966,10081
1967,10586
1968,11376
1969,11969
1970,12145
1971,12407
1972,12969
1973,13323
1974,13619
1975,14102
1976,14030
1977,14927
1978,15746
1979,15915
1980,16192
1981,16470
1982,16613
1983,16405
1984,16940
1985,17350
1986,17214
1987,17958
1988,18886
1989,20008
1990,21658
1991,21950
1992,22529
1993,23021
1994,24250
1995,26450
1996,28260
1997,31027
1998,33367
1999,36466
2000,39385
2001,40825
2002,42523
2003,43071
2004,45070
2005,46598
2006,47647
2007,48747
2008,45659
2009,42927
2010,43515
