Region:Middle East North Africa

year,income_per_person
1960,6938
1961,7450
1962,7872
1963,8377
1964,8881
1965,9436
1966,9332
1967,9400
1968,10650
1969,11719
1970,12319
1971,13275
1972,14475
1973,14762
1974,15377
1975,15598
1976,15514
1977,15225
1978,15663
1979,16300
1980,17065
1981,17681
1982,17770
1983,18112
1984,17991
1985,18324
1986,18910
1987,19973
1988,20075
1989,19953
1990,20728
1991,21025
1992,21887
1993,22191
1994,23230
1995,24111
1996,24716
1997,25054
1998,25385
1999,25535
2000,26789
2001,26180
2002,25662
2003,25438
2004,26053
2005,26609
2006,27607
2007,28685
2008,28990
2009,28635
2010,29665
