Region:Europe Central Asia

year,income_per_person
1960,10922
1961,11779
1962,12633
1963,13454
1964,13885
1965,14108
1966,14763
1967,15731
1968,16963
1969,17841
1970,18146
1971,18392
1972,18826
1973,19922
1974,20717
1975,20168
1976,21400
1977,21956
1978,22728
1979,23989
1980,24827
1981,24950
1982,25077
1983,25368
1984,26018
1985,26762
1986,27551
1987,28438
1988,29568
1989,30452
1990,31142
1991,31599
1992,31841
1993,31550
1994,32222
1995,33152
1996,33569
1997,34167
1998,34709
1999,35245
2000,36536
2001,37162
2002,37199
2003,37090
2004,37434
2005,37604
2006,38244
2007,38612
2008,37954
2009,35710
2010,36201
