Region:America

year,income_per_person
1960,5164
1961,5257
1962,5295
1963,5361
1964,5645
1965,5965
1966,6079
1967,6173
1968,6375
1969,6755
1970,7467
1971,7377
1972,7480
1973,8007
1974,7574
1975,7449
1976,6902
1977,6681
1978,6657
1979,6454
1980,6038
1981,6115
1982,6087
1983,6204
1984,6132
1985,5833
1986,5916
1987,6361
1988,6532
1989,6954
1990,7301
1991,7593
1992,7674
1993,8317
1994,8349
1995,8462
1996,8371
1997,8194
1998,7926
1999,7937
2000,7940
2001,7987
2002,8091
2003,8337
2004,8399
2005,8428
2006,8626
2007,8706
2008,8593
2009,8180
2010,8018
