Region:East Asia Pacific

year,income_per_person
1960,6273
1961,6973
1962,7533
1963,8099
1964,8960
1965,9391
1966,10307
1967,11345
1968,12678
1969,14109
1970,15461
1971,15999
1972,17123
1973,18261
1974,17818
1975,18158
1976,18699
1977,19353
1978,20212
1979,21165
1980,21614
1981,22164
1982,22712
1983,23107
1984,23886
1985,24816
1986,25408
1987,26364
1988,27909
1989,29172
1990,30582
1991,31530
1992,31718
1993,31476
1994,31681
1995,32425
1996,33346
1997,33624
1998,33155
1999,33011
2000,33872
2001,33928
2002,33889
2003,34333
2004,35078
2005,35658
2006,36142
2007,36697
2008,36278
2009,34318
2010,35750
