Region:Middle East North Africa

year,income_per_person
1960,4794
1961,5489
1962,5320
1963,5345
1964,5974
1965,6338
1966,6205
1967,6008
1968,5216
1969,5373
1970,4609
1971,4521
1972,4469
1973,4501
1974,4689
1975,4798
1976,5710
1977,5826
1978,6758
1979,7070
1980,8023
1981,8002
1982,8191
1983,7977
1984,8282
1985,8197
1986,8557
1987,8425
1988,7999
1989,6855
1990,6285
1991,6069
1992,6808
1993,6744
1994,6745
1995,6883
1996,6813
1997,6871
1998,6940
1999,7051
2000,7220
2001,7463
2002,7746
2003,7895
2004,8347
2005,8736
2006,9087
2007,9416
2008,9633
2009,9664
2010,9386
