Region:Europe Central Asia

year,income_per_person
1960,8475
1961,8805
1962,8898
1963,8567
1964,9577
1965,10032
1966,10437
1967,10820
1968,11380
1969,11470
1970,12280
1971,12526
1972,12515
1973,13483
1974,13434
1975,13385
1976,13337
1977,13288
1978,13240
1979,13192
1980,13144
1981,12811
1982,12490
1983,12938
1984,12731
1985,12715
1986,12740
1987,12527
1988,13473
1989,13350
1990,13050
1991,11543
1992,10938
1993,9998
1994,8866
1995,8283
1996,8451
1997,8732
1998,8715
1999,9036
2000,9952
2001,11314
2002,12423
2003,13532
2004,14729
2005,16014
2006,17541
2007,18885
2008,19272
2009,18996
2010,20097
