Region:Sub Saharan Africa

year,income_per_person
1960,1669
1961,1574
1962,1604
1963,1627
1964,1724
1965,1683
1966,1835
1967,1862
1968,1927
1969,1974
1970,2043
1971,2095
1972,2122
1973,2148
1974,2166
1975,2072
1976,2070
1977,2167
1978,2265
1979,2252
1980,2278
1981,2233
1982,2271
1983,2193
1984,2142
1985,2147
1986,2214
1987,2259
1988,2309
1989,2330
1990,2348
1991,2304
1992,2213
1993,2152
1994,2142
1995,2171
1996,2196
1997,2144
1998,2154
1999,2143
2000,2098
2001,2119
2002,2073
2003,2077
2004,2124
2005,2189
2006,2267
2007,2356
2008,2297
2009,2309
2010,2436
