Region:East Asia Pacific

year,income_per_person
1960,2828
1961,2922
1962,3018
1963,3118
1964,3221
1965,3328
1966,3438
1967,3551
1968,3667
1969,3788
1970,3913
1971,3754
1972,4143
1973,4936
1974,7067
1975,7324
1976,5267
1977,4927
1978,4876
1979,4221
1980,2294
1981,2166
1982,2333
1983,2057
1984,2164
1985,2014
1986,1993
1987,1882
1988,2169
1989,1940
1990,1944
1991,1910
1992,1899
1993,1891
1994,1900
1995,1874
1996,1878
1997,1878
1998,1968
1999,1905
2000,1989
2001,1927
2002,1967
2003,1972
2004,1904
2005,1959
2006,1916
2007,1910
2008,1828
2009,1803
2010,1752
