Region:Middle East North Africa

year,income_per_person
1960,21812
1961,24339
1962,27157
1963,30300
1964,33803
1965,37711
1966,42067
1967,46924
1968,52340
1969,58378
1970,65110
1971,77169
1972,76225
1973,73084
1974,142690
1975,118213
1976,118302
1977,106970
1978,107821
1979,115281
1980,86602
1981,67185
1982,56737
1983,58600
1984,59008
1985,53417
1986,55474
1987,51012
1988,50634
1989,52238
1990,40148
1991,24296
1992,46694
1993,67238
1994,77331
1995,81257
1996,80695
1997,78659
1998,76157
1999,70176
2000,70112
2001,68671
2002,69615
2003,80741
2004,87851
2005,93734
2006,96390
2007,96847
2008,93569
2009,81861
2010,75360
