Region:Europe Central Asia

year,income_per_person
1960,3326
1961,3394
1962,3465
1963,3534
1964,3606
1965,3678
1966,3752
1967,3825
1968,3901
1969,3976
1970,4052
1971,4129
1972,4207
1973,4286
1974,4235
1975,4185
1976,4136
1977,4086
1978,4036
1979,3987
1980,3938
1981,3859
1982,3778
1983,3912
1984,3846
1985,3590
1986,3423
1987,3279
1988,3515
1989,3500
1990,3475
1991,3150
1992,2681
1993,2266
1994,1812
1995,1696
1996,1790
1997,1939
1998,1950
1999,1991
2000,2075
2001,2164
2002,2144
2003,2271
2004,2401
2005,2370
2006,2418
2007,2599
2008,2791
2009,2837
2010,2790
