Region:East Asia Pacific

year,income_per_person
1960,899
1961,908
1962,916
1963,924
1964,933
1965,941
1966,950
1967,959
1968,968
1969,978
1970,987
1971,1015
1972,1028
1973,1094
1974,1110
1975,1158
1976,1187
1977,1151
1978,1147
1979,1117
1980,1219
1981,1387
1982,1452
1983,1484
1984,1554
1985,1596
1986,1626
1987,1558
1988,1484
1989,1647
1990,1708
1991,1732
1992,1779
1993,1836
1994,1937
1995,2026
1996,2120
1997,2222
1998,2267
1999,2391
2000,2488
2001,2589
2002,2700
2003,2821
2004,2955
2005,3116
2006,3330
2007,3524
2008,3735
2009,3949
2010,4217
