Region:Europe Central Asia

year,income_per_person
1960,6303
1961,6616
1962,6756
1963,6572
1964,7397
1965,7801
1966,8172
1967,8530
1968,9032
1969,9164
1970,9877
1971,10142
1972,10199
1973,11060
1974,11241
1975,11425
1976,11612
1977,11802
1978,11995
1979,12191
1980,12390
1981,12633
1982,12867
1983,13072
1984,13388
1985,13050
1986,13328
1987,13202
1988,13712
1989,14475
1990,14649
1991,12864
1992,8856
1993,8003
1994,8316
1995,8284
1996,8575
1997,9438
1998,10149
1999,10500
2000,11175
2001,12052
2002,13059
2003,14297
2004,15659
2005,17522
2006,19786
2007,21939
2008,21384
2009,18609
2010,18252
