Region:Middle East North Africa

year,income_per_person
1960,11717
1961,12112
1962,12195
1963,11918
1964,12242
1965,13026
1966,13452
1967,12389
1968,13486
1969,13335
1970,13794
1971,14616
1972,15909
1973,16177
1974,16092
1975,10981
1976,4654
1977,8388
1978,7980
1979,8551
1980,8655
1981,8512
1982,5264
1983,6319
1984,8933
1985,10866
1986,9919
1987,11347
1988,7992
1989,4517
1990,5584
1991,8006
1992,8854
1993,9293
1994,9582
1995,9839
1996,10700
1997,10671
1998,10957
1999,10742
2000,10617
2001,10615
2002,10477
2003,10307
2004,10521
2005,10513
2006,10555
2007,11522
2008,12595
2009,13722
2010,14406
