Region:Sub Saharan Africa

year,income_per_person
1960,501
1961,502
1962,571
1963,620
1964,659
1965,662
1966,646
1967,704
1968,688
1969,685
1970,688
1971,611
1972,715
1973,884
1974,920
1975,829
1976,947
1977,1090
1978,1276
1979,1112
1980,1057
1981,1043
1982,1056
1983,1050
1984,1073
1985,1084
1986,1119
1987,1106
1988,1188
1989,1240
1990,1299
1991,1358
1992,1420
1993,1438
1994,1492
1995,1511
1996,1566
1997,1596
1998,1597
1999,1586
2000,1637
2001,1693
2002,1710
2003,1799
2004,1840
2005,1914
2006,2001
2007,2101
2008,2242
2009,2287
2010,2419
