Region:Sub Saharan Africa

year,income_per_person
1960,1172
1961,1168
1962,1152
1963,1148
1964,1173
1965,1161
1966,1342
1967,1296
1968,1319
1969,1374
1970,1422
1971,1450
1972,1457
1973,1468
1974,1473
1975,1380
1976,1409
1977,1384
1978,1424
1979,1450
1980,1320
1981,1232
1982,1216
1983,1139
1984,1098
1985,1043
1986,1132
1987,1259
1988,1404
1989,1558
1990,957
1991,932
1992,654
1993,472
1994,393
1995,389
1996,413
1997,791
1998,952
1999,1081
2000,1318
2001,1308
2002,1325
2003,910
2004,916
2005,940
2006,982
2007,1034
2008,1063
2009,1076
2010,1101
