Region:Middle East North Africa

year,income_per_person
1960,6353
1961,6713
1962,8568
1963,11115
1964,15089
1965,18568
1966,21061
1967,22547
1968,28886
1969,31077
1970,31289
1971,28489
1972,29540
1973,28406
1974,32713
1975,32439
1976,38385
1977,40890
1978,41067
1979,42689
1980,41026
1981,31691
1982,31193
1983,29171
1984,26607
1985,28426
1986,25027
1987,20787
1988,21719
1989,22627
1990,22827
1991,25731
1992,24421
1993,22950
1994,22862
1995,22028
1996,22353
1997,23159
1998,21807
1999,21464
2000,21913
2001,21189
2002,20652
2003,22969
2004,23617
2005,26018
2006,27294
2007,28600
2008,28956
2009,28375
2010,29494
