Region:Europe Central Asia

year,income_per_person
1960,8412
1961,8731
1962,8814
1963,8477
1964,9434
1965,9839
1966,10191
1967,10519
1968,11013
1969,11052
1970,11778
1971,11959
1972,11893
1973,12754
1974,12900
1975,13047
1976,13195
1977,13345
1978,13496
1979,13649
1980,13803
1981,14354
1982,14916
1983,15045
1984,15190
1985,14688
1986,15165
1987,15407
1988,16607
1989,16494
1990,15561
1991,14649
1992,11541
1993,9718
1994,8827
1995,9357
1996,9914
1997,10816
1998,11708
1999,11658
2000,12190
2001,13093
2002,14091
2003,15703
2004,16920
2005,18527
2006,20219
2007,22729
2008,23568
2009,20300
2010,21071
