Region:Europe Central Asia

year,income_per_person
1960,14629
1961,15424
1962,15796
1963,16541
1964,18009
1965,18539
1966,19012
1967,19384
1968,20550
1969,22900
1970,23623
1971,24482
1972,26260
1973,28645
1974,29996
1975,28208
1976,29275
1977,30183
1978,31886
1979,33086
1980,33777
1981,34569
1982,34930
1983,36510
1984,39321
1985,40974
1986,44575
1987,45948
1988,50910
1989,56415
1990,57618
1991,61766
1992,62060
1993,63804
1994,65346
1995,65358
1996,65369
1997,68241
1998,71471
1999,76492
2000,81690
2001,82767
2002,85033
2003,85374
2004,87210
2005,88610
2006,91724
2007,97864
2008,94900
2009,89099
2010,91743
