Region:Sub Saharan Africa

year,income_per_person
1960,2274
1961,2279
1962,2287
1963,2221
1964,2265
1965,2210
1966,2212
1967,2287
1968,2392
1969,2431
1970,2504
1971,2548
1972,2460
1973,2344
1974,2338
1975,2314
1976,2186
1977,2183
1978,2074
1979,2218
1980,2176
1981,1935
1982,1848
1983,1813
1984,1698
1985,1688
1986,1653
1987,1642
1988,1621
1989,1638
1990,1653
1991,1504
1992,1478
1993,1464
1994,1419
1995,1400
1996,1386
1997,1393
1998,1402
1999,1422
2000,1444
2001,1484
2002,1257
2003,1339
2004,1368
2005,1390
2006,1417
2007,1463
2008,1523
2009,1421
2010,1386
