Region:Sub Saharan Africa

year,income_per_person
1960,575
1961,589
1962,572
1963,546
1964,519
1965,574
1966,616
1967,656
1968,629
1969,650
1970,642
1971,713
1972,763
1973,803
1974,830
1975,833
1976,839
1977,854
1978,902
1979,913
1980,889
1981,816
1982,797
1983,803
1984,812
1985,847
1986,818
1987,791
1988,759
1989,752
1990,747
1991,795
1992,731
1993,799
1994,715
1995,826
1996,871
1997,883
1998,892
1999,894
2000,884
2001,819
2002,813
2003,839
2004,862
2005,868
2006,884
2007,942
2008,986
2009,1038
2010,1078
