Region:East Asia Pacific

year,income_per_person
1960,2842
1961,2968
1962,3062
1963,3133
1964,3255
1965,3411
1966,3503
1967,3485
1968,3711
1969,3846
1970,4001
1971,4210
1972,4435
1973,4977
1974,5244
1975,5184
1976,5716
1977,6062
1978,6467
1979,6858
1980,7280
1981,7638
1982,7925
1983,8236
1984,8690
1985,8414
1986,8335
1987,8595
1988,9161
1989,9822
1990,10557
1991,11258
1992,11947
1993,12804
1994,13639
1995,14607
1996,15663
1997,16385
1998,14800
1999,15329
2000,16304
2001,16033
2002,16548
2003,17159
2004,17965
2005,18555
2006,19208
2007,20022
2008,20592
2009,19916
2010,21036
