Region:South Asia

year,income_per_person
1960,2069
1961,2121
1962,2173
1963,2227
1964,2282
1965,2338
1966,2395
1967,2454
1968,2514
1969,2573
1970,2636
1971,2672
1972,2630
1973,2565
1974,2605
1975,2306
1976,2237
1977,2403
1978,2662
1979,2841
1980,3241
1981,3476
1982,3231
1983,3595
1984,4370
1985,4731
1986,4964
1987,5188
1988,5421
1989,5699
1990,6384
1991,6677
1992,6901
1993,7136
1994,7427
1995,7777
1996,8225
1997,8758
1998,9253
1999,9642
2000,9803
2001,9189
2002,9593
2003,10605
2004,10935
2005,9252
2006,11387
2007,11984
2008,12804
2009,11544
2010,11965
