Region:Sub Saharan Africa

year,income_per_person
1960,709
1961,706
1962,702
1963,742
1964,768
1965,770
1966,793
1967,808
1968,828
1969,813
1970,852
1971,869
1972,901
1973,867
1974,834
1975,934
1976,1046
1977,1111
1978,1073
1979,1323
1980,1159
1981,1109
1982,1037
1983,1072
1984,1108
1985,1122
1986,1182
1987,1191
1988,1176
1989,1280
1990,1274
1991,1393
1992,1316
1993,1322
1994,1335
1995,1313
1996,1369
1997,1399
1998,1466
1999,1508
2000,1466
2001,1642
2002,1643
2003,1738
2004,1710
2005,1764
2006,1786
2007,1788
2008,1812
2009,1836
2010,1875
