Region:Europe Central Asia

year,income_per_person
1960,2403
1961,2398
1962,2312
1963,2330
1964,2429
1965,2649
1966,2970
1967,3187
1968,3523
1969,3733
1970,4195
1971,4327
1972,4697
1973,4885
1974,5382
1975,6391
1976,7491
1977,8388
1978,9168
1979,9984
1980,10249
1981,10662
1982,11077
1983,11214
1984,11530
1985,12047
1986,12605
1987,13108
1988,14177
1989,15280
1990,16162
1991,16717
1992,17321
1993,17918
1994,18754
1995,19805
1996,20419
1997,21330
1998,22278
1999,23192
2000,24602
2001,24567
2002,25112
2003,25582
2004,25523
2005,26321
2006,26704
2007,27672
2008,28413
2009,27505
2010,28340
