Region:East Asia Pacific

year,income_per_person
1960,1701
1961,1740
1962,1781
1963,1823
1964,1866
1965,1910
1966,1954
1967,2000
1968,2047
1969,2095
1970,2144
1971,2195
1972,2245
1973,2298
1974,2533
1975,2432
1976,2351
1977,2329
1978,2381
1979,2348
1980,2096
1981,2140
1982,2111
1983,2346
1984,2300
1985,2137
1986,2496
1987,2695
1988,2822
1989,2737
1990,2910
1991,2844
1992,2995
1993,3138
1994,3297
1995,3550
1996,3180
1997,2980
1998,2900
1999,2827
2000,2974
2001,3093
2002,3116
2003,3058
2004,3004
2005,3048
2006,3064
2007,3160
2008,3101
2009,3046
2010,3236
