Region:Sub Saharan Africa

year,income_per_person
1960,1410
1961,1640
1962,1594
1963,1486
1964,1916
1965,2165
1966,2159
1967,2216
1968,2392
1969,2333
1970,2549
1971,2542
1972,2518
1973,2471
1974,2650
1975,2886
1976,3042
1977,2994
1978,2734
1979,2966
1980,2944
1981,3015
1982,2742
1983,2765
1984,2662
1985,2705
1986,2814
1987,2827
1988,2811
1989,2874
1990,2801
1991,2778
1992,2758
1993,2845
1994,2689
1995,2878
1996,2970
1997,2779
1998,2784
1999,2922
2000,2834
2001,2814
2002,2755
2003,2839
2004,2918
2005,3091
2006,3571
2007,3567
2008,3503
2009,3367
2010,3426
