Region:Sub Saharan Africa

year,income_per_person
1960,3032
1961,3618
1962,3538
1963,3945
1964,3563
1965,3579
1966,3364
1967,3437
1968,3137
1969,3239
1970,3170
1971,3260
1972,3475
1973,3836
1974,4080
1975,4069
1976,4893
1977,5119
1978,5215
1979,5292
1980,4668
1981,4858
1982,5050
1983,5011
1984,5192
1985,5493
1986,5975
1987,6521
1988,6895
1989,7141
1990,7581
1991,7832
1992,8233
1993,8549
1994,8779
1995,9077
1996,9487
1997,9902
1998,10393
1999,10530
2000,11282
2001,11568
2002,11674
2003,12276
2004,12728
2005,12877
2006,13441
2007,14146
2008,14855
2009,15306
2010,15938
