Region:America

year,income_per_person
1960,5624
1961,5758
1962,5880
1963,6201
1964,6769
1965,7032
1966,7334
1967,7601
1968,8017
1969,8310
1970,8664
1971,8761
1972,9247
1973,9735
1974,10051
1975,10378
1976,10589
1977,10707
1978,11440
1979,12315
1980,13209
1981,14091
1982,13765
1983,13048
1984,13281
1985,13359
1986,12738
1987,12766
1988,12742
1989,13084
1990,13580
1991,13892
1992,14126
1993,14148
1994,14595
1995,13452
1996,14135
1997,14869
1998,15401
1999,15593
2000,16130
2001,15841
2002,15619
2003,15630
2004,16020
2005,16159
2006,16641
2007,16772
2008,16712
2009,15596
2010,16160
