Region:East Asia Pacific

year,income_per_person
1960,1424
1961,1451
1962,1481
1963,1510
1964,1539
1965,1569
1966,1600
1967,1631
1968,1663
1969,1696
1970,1729
1971,1750
1972,1763
1973,2362
1974,2716
1975,2689
1976,2646
1977,2640
1978,2702
1979,2667
1980,2393
1981,2538
1982,2392
1983,2365
1984,2202
1985,2498
1986,2629
1987,2620
1988,2718
1989,2676
1990,2722
1991,2851
1992,2889
1993,3048
1994,2971
1995,3137
1996,3017
1997,2830
1998,2921
1999,2973
2000,3120
2001,3181
2002,3205
2003,3271
2004,3177
2005,3257
2006,3276
2007,3241
2008,3196
2009,3252
2010,3320
