Region:Europe Central Asia

year,income_per_person
1960,3713
1961,3876
1962,3935
1963,3806
1964,4275
1965,4498
1966,4702
1967,4896
1968,5173
1969,5238
1970,5634
1971,5772
1972,5793
1973,6269
1974,6354
1975,6441
1976,6528
1977,6616
1978,6706
1979,6796
1980,6887
1981,7272
1982,7681
1983,7988
1984,8125
1985,7303
1986,7758
1987,7728
1988,7669
1989,8145
1990,7823
1991,6557
1992,4646
1993,4597
1994,3185
1995,3154
1996,2975
1997,3035
1998,2837
1999,2746
2000,2810
2001,2988
2002,3228
2003,3451
2004,3716
2005,4004
2006,4208
2007,4344
2008,4692
2009,4416
2010,4734
