Region:Europe Central Asia

year,income_per_person
1960,17120
1961,17876
1962,18666
1963,19491
1964,20352
1965,21251
1966,22190
1967,23170
1968,24194
1969,25262
1970,26378
1971,27552
1972,28604
1973,30259
1974,31395
1975,30908
1976,32119
1977,33121
1978,34303
1979,35387
1980,35840
1981,36006
1982,36699
1983,36942
1984,37292
1985,37734
1986,38455
1987,39209
1988,40801
1989,42283
1990,43173
1991,43365
1992,43703
1993,43063
1994,43791
1995,44514
1996,44836
1997,45690
1998,47144
1999,48523
2000,50200
2001,50855
2002,51060
2003,51275
2004,52196
2005,52761
2006,54636
2007,60930
2008,59857
2009,53735
2010,54146
