Region:East Asia Pacific

year,income_per_person
1960,2479
1961,2543
1962,2607
1963,2679
1964,2748
1965,2820
1966,2890
1967,2969
1968,3046
1969,3123
1970,3207
1971,3251
1972,3261
1973,3434
1974,3457
1975,3558
1976,3580
1977,3741
1978,3894
1979,3930
1980,4070
1981,4292
1982,4526
1983,4659
1984,4800
1985,4935
1986,5255
1987,5295
1988,5416
1989,5408
1990,5123
1991,4606
1992,4132
1993,3966
1994,4020
1995,4244
1996,4304
1997,4435
1998,4544
1999,4643
2000,4655
2001,4749
2002,4925
2003,5216
2004,5706
2005,6047
2006,6481
2007,7049
2008,7566
2009,7353
2010,7688
