Region:Europe Central Asia

year,income_per_person
1960,5971
1961,7186
1962,7034
1963,7981
1964,9299
1965,9514
1966,9924
1967,10084
1968,10546
1969,11574
1970,12417
1971,12820
1972,13419
1973,13300
1974,14023
1975,14390
1976,15047
1977,16577
1978,17398
1979,17305
1980,21292
1981,20425
1982,20923
1983,20518
1984,21192
1985,21213
1986,21887
1987,20799
1988,20074
1989,20097
1990,18308
1991,16118
1992,11719
1993,7272
1994,7184
1995,7999
1996,10007
1997,10531
1998,11081
1999,10067
2000,10397
2001,10469
2002,10626
2003,10846
2004,11306
2005,11761
2006,12753
2007,13603
2008,14559
2009,13686
2010,14035
