Region:Middle East North Africa

year,income_per_person
1960,2173
1961,2189
1962,2204
1963,2219
1964,2236
1965,2252
1966,2314
1967,2378
1968,2444
1969,2510
1970,2578
1971,2648
1972,2649
1973,2682
1974,2764
1975,2883
1976,3130
1977,3211
1978,3233
1979,3307
1980,3533
1981,3364
1982,3614
1983,3489
1984,3529
1985,3642
1986,3818
1987,3630
1988,3894
1989,3879
1990,3923
1991,4130
1992,3972
1993,3875
1994,4216
1995,3927
1996,4349
1997,4223
1998,4471
1999,4463
2000,4492
2001,4763
2002,4853
2003,5082
2004,5263
2005,5373
2006,5713
2007,5845
2008,6118
2009,6300
2010,6456
