Region:Sub Saharan Africa

year,income_per_person
1960,404
1961,409
1962,430
1963,408
1964,418
1965,421
1966,427
1967,447
1968,488
1969,536
1970,555
1971,580
1972,585
1973,604
1974,545
1975,457
1976,423
1977,414
1978,407
1979,401
1980,405
1981,406
1982,389
1983,357
1984,346
1985,312
1986,316
1987,335
1988,367
1989,385
1990,386
1991,395
1992,361
1993,377
1994,385
1995,380
1996,468
1997,505
1998,550
1999,579
2000,573
2001,628
2002,663
2003,686
2004,718
2005,758
2006,809
2007,846
2008,879
2009,910
2010,945
