Region:East Asia Pacific

year,income_per_person
1960,664
1961,663
1962,704
1963,706
1964,701
1965,701
1966,654
1967,656
1968,681
1969,690
1970,703
1971,706
1972,692
1973,672
1974,689
1975,699
1976,723
1977,747
1978,778
1979,795
1980,838
1981,863
1982,885
1983,898
1984,917
1985,918
1986,885
1987,828
1988,717
1989,726
1990,730
1991,716
1992,776
1993,813
1994,864
1995,913
1996,960
1997,1001
1998,1046
1999,1146
2000,1289
2001,1420
2002,1575
2003,1776
2004,2000
2005,2253
2006,2530
2007,2815
2008,3084
2009,3388
2010,3688
