Region:Sub Saharan Africa

year,income_per_person
1960,5004
1961,4951
1962,5527
1963,5948
1964,6763
1965,7060
1966,7168
1967,6725
1968,6629
1969,6706
1970,6581
1971,6704
1972,6618
1973,6662
1974,6912
1975,6833
1976,6700
1977,6542
1978,6611
1979,6685
1980,6949
1981,6947
1982,6740
1983,6396
1984,6198
1985,6057
1986,6227
1987,6322
1988,6105
1989,5923
1990,5713
1991,5998
1992,6257
1993,6007
1994,5970
1995,6065
1996,6125
1997,6254
1998,6334
1999,6428
2000,6539
2001,6510
2002,6719
2003,6901
2004,7632
2005,7701
2006,8108
2007,8394
2008,8461
2009,8332
2010,8678
