Region:East Asia Pacific

year,income_per_person
1960,14089
1961,15974
1962,18109
1963,20529
1964,23272
1965,26383
1966,29908
1967,33905
1968,38434
1969,43568
1970,49387
1971,49750
1972,50147
1973,50601
1974,51139
1975,51783
1976,49615
1977,47589
1978,45671
1979,43797
1980,41933
1981,40080
1982,38251
1983,36449
1984,34673
1985,32933
1986,31238
1987,29603
1988,28040
1989,26568
1990,25195
1991,19980
1992,16398
1993,13507
1994,12795
1995,11655
1996,10209
1997,9033
1998,8182
1999,7652
2000,7129
2001,6640
2002,5966
2003,5969
2004,5702
2005,5012
2006,4026
2007,4049
2008,5415
2009,5856
2010,6606
