Region:South Asia

year,income_per_person
1960,950
1961,957
1962,963
1963,967
1964,971
1965,976
1966,1024
1967,987
1968,973
1969,995
1970,999
1971,966
1972,975
1973,949
1974,988
1975,980
1976,1000
1977,1006
1978,1027
1979,1026
1980,978
1981,1034
1982,1046
1983,988
1984,1056
1985,1091
1986,1111
1987,1099
1988,1152
1989,1168
1990,1188
1991,1231
1992,1247
1993,1261
1994,1328
1995,1340
1996,1379
1997,1417
1998,1430
1999,1464
2000,1527
2001,1573
2002,1551
2003,1590
2004,1642
2005,1678
2006,1713
2007,1750
2008,1837
2009,1905
2010,1987
