Region:Europe Central Asia

year,income_per_person
1960,14911
1961,14778
1962,15587
1963,15957
1964,17073
1965,17749
1966,18023
1967,18783
1968,19813
1969,20873
1970,21821
1971,22493
1972,23031
1973,23947
1974,24742
1975,24547
1976,25518
1977,26089
1978,26578
1979,27025
1980,27166
1981,26869
1982,26472
1983,26862
1984,27669
1985,28418
1986,29077
1987,29338
1988,29947
1989,31204
1990,32305
1991,32833
1992,33142
1993,33326
1994,34106
1995,34996
1996,36053
1997,37421
1998,38926
1999,40614
2000,42017
2001,42671
2002,42492
2003,42357
2004,43048
2005,43829
2006,45273
2007,46879
2008,47710
2009,45725
2010,46102
