Region:East Asia Pacific

year,income_per_person
1960,15586
1961,16083
1962,16094
1963,16795
1964,17308
1965,18113
1966,18959
1967,17863
1968,17673
1969,19333
1970,18833
1971,19527
1972,20033
1973,21049
1974,21866
1975,21249
1976,21567
1977,20486
1978,20607
1979,21080
1980,21232
1981,22204
1982,22445
1983,22818
1984,23701
1985,23748
1986,24172
1987,24244
1988,24162
1989,24306
1990,24038
1991,22651
1992,22662
1993,23837
1994,24726
1995,25517
1996,26026
1997,26212
1998,26186
1999,27470
2000,28102
2001,28906
2002,29738
2003,30487
2004,31249
2005,31924
2006,32435
2007,33102
2008,32491
2009,32099
2010,32233
