Region:America

year,income_per_person
1960,4567
1961,4739
1962,5073
1963,5428
1964,5852
1965,6186
1966,6168
1967,6367
1968,6229
1969,6412
1970,6247
1971,6323
1972,6313
1973,6420
1974,6985
1975,6889
1976,6981
1977,7157
1978,6483
1979,4608
1980,4605
1981,4674
1982,4498
1983,4583
1984,4392
1985,4110
1986,3968
1987,3837
1988,3267
1989,3116
1990,2973
1991,2902
1992,2848
1993,2775
1994,2807
1995,2913
1996,3039
1997,3104
1998,3164
1999,3333
2000,3416
2001,3465
2002,3441
2003,3480
2004,3615
2005,3718
2006,3820
2007,3959
2008,4039
2009,3853
2010,3969
