Region:Sub Saharan Africa

year,income_per_person
1960,1177
1961,1204
1962,1306
1963,1408
1964,1384
1965,1460
1966,1414
1967,1393
1968,1376
1969,1309
1970,1322
1971,1369
1972,1272
1973,1034
1974,1101
1975,1048
1976,1033
1977,1088
1978,1208
1979,1267
1980,1300
1981,1287
1982,1244
1983,1194
1984,970
1985,966
1986,986
1987,930
1988,959
1989,936
1990,893
1991,886
1992,802
1993,786
1994,790
1995,784
1996,783
1997,776
1998,827
1999,794
2000,755
2001,780
2002,774
2003,786
2004,758
2005,763
2006,777
2007,772
2008,815
2009,779
2010,812
