Region:Sub Saharan Africa

year,income_per_person
1960,2137
1961,2157
1962,2226
1963,2378
1964,2421
1965,2523
1966,2385
1967,1967
1968,1899
1969,2352
1970,3002
1971,3275
1972,3317
1973,3514
1974,3826
1975,3621
1976,3914
1977,3956
1978,3632
1979,3788
1980,3762
1981,3372
1982,3259
1983,2990
1984,2816
1985,3002
1986,2994
1987,2910
1988,3130
1989,3262
1990,3361
1991,3288
1992,3355
1993,3205
1994,3069
1995,2992
1996,3041
1997,3053
1998,3055
1999,2997
2000,3069
2001,3170
2002,3565
2003,3731
2004,3974
2005,4122
2006,4259
2007,4421
2008,4597
2009,4836
2010,5085
