Region:East Asia Pacific

year,income_per_person
1960,808
1961,822
1962,820
1963,867
1964,916
1965,947
1966,1034
1967,1084
1968,1194
1969,1344
1970,1428
1971,1526
1972,1637
1973,1761
1974,1900
1975,2057
1976,2104
1977,2155
1978,2208
1979,2262
1980,2315
1981,2362
1982,2412
1983,2462
1984,2513
1985,2564
1986,2559
1987,2553
1988,2547
1989,2539
1990,2389
1991,2244
1992,2048
1993,1922
1994,1857
1995,1755
1996,1680
1997,1562
1998,1545
1999,1631
2000,1624
2001,1671
2002,1678
2003,1696
2004,1720
2005,1774
2006,1745
2007,1714
2008,1757
2009,1731
2010,1713
