Region:Europe Central Asia

year,income_per_person
1960,3956
1961,4002
1962,4031
1963,4677
1964,5973
1965,5399
1966,5799
1967,5982
1968,6105
1969,6664
1970,7104
1971,7461
1972,7710
1973,8071
1974,8415
1975,8683
1976,8941
1977,9378
1978,10008
1979,10580
1980,10571
1981,10593
1982,10618
1983,10336
1984,10616
1985,10479
1986,11156
1987,10962
1988,10573
1989,10736
1990,9633
1991,9052
1992,8477
1993,7863
1994,7733
1995,7641
1996,7708
1997,7779
1998,7992
1999,8288
2000,8621
2001,8323
2002,8423
2003,8591
2004,8977
2005,9386
2006,9854
2007,10481
2008,11044
2009,10995
2010,11355
