Region:Europe Central Asia

year,income_per_person
1960,21705
1961,22707
1962,22981
1963,23496
1964,24287
1965,25177
1966,25710
1967,26865
1968,27010
1969,27765
1970,27891
1971,28887
1972,29875
1973,30713
1974,31531
1975,32713
1976,34169
1977,35167
1978,35934
1979,37083
1980,38445
1981,38331
1982,37920
1983,38786
1984,40578
1985,42161
1986,43116
1987,43376
1988,42707
1989,42517
1990,42814
1991,43925
1992,45233
1993,46244
1994,48306
1995,50052
1996,52303
1997,54769
1998,55873
1999,56609
2000,58045
2001,58956
2002,59482
2003,59678
2004,61676
2005,62865
2006,63854
2007,65083
2008,64586
2009,62698
2010,62350
